name,best_val_rankic,best_epoch,total_epochs,time_s
tf_tf_d_model=96_n_heads=8_n_temporal_layers=3_n_spatial_layers=1_dropout=0.1_lr=0.0005,0.096866,25,35,8781.0
tf_tf_d_model=128_n_heads=4_n_temporal_layers=2_n_spatial_layers=1_dropout=0.1_lr=0.0005,0.094483,14,24,3788.7
tf_tf_d_model=128_n_heads=4_n_temporal_layers=3_n_spatial_layers=1_dropout=0.1_lr=0.0005,0.099616,27,37,8411.1
tf_tf_d_model=128_n_heads=8_n_temporal_layers=2_n_spatial_layers=1_dropout=0.1_lr=0.0005,0.093091,11,21,4196.0
tf_tf_d_model=128_n_heads=8_n_temporal_layers=3_n_spatial_layers=1_dropout=0.1_lr=0.0005,0.096277,13,23,6679.1
tf_tf_d_model=96_n_heads=4_n_temporal_layers=2_n_spatial_layers=1_dropout=0.1_lr=0.0003,0.100904,36,46,6191.5
tf_tf_d_model=96_n_heads=4_n_temporal_layers=2_n_spatial_layers=1_dropout=0.1_lr=0.0005,0.099168,16,26,3500.9
tf_tf_d_model=96_n_heads=4_n_temporal_layers=2_n_spatial_layers=1_dropout=0.1_lr=0.001,0.096586,32,42,5654.9
tf_tf_d_model=96_n_heads=4_n_temporal_layers=2_n_spatial_layers=1_dropout=0.2_lr=0.0003,0.095439,27,37,5056.3
tf_tf_d_model=96_n_heads=4_n_temporal_layers=2_n_spatial_layers=1_dropout=0.2_lr=0.0005,0.093072,13,23,3572.0
tf_tf_d_model=96_n_heads=4_n_temporal_layers=2_n_spatial_layers=1_dropout=0.2_lr=0.001,0.094608,29,39,6051.8
tf_tf_d_model=96_n_heads=4_n_temporal_layers=2_n_spatial_layers=1_dropout=0.3_lr=0.0003,0.09527,30,40,6247.3
tf_tf_d_model=96_n_heads=4_n_temporal_layers=2_n_spatial_layers=1_dropout=0.3_lr=0.0005,0.099087,36,46,7148.1
