signal_date,n,ic,rank_ic
20240905,3286,-0.006246607953908717,0.10176624536649688
20240906,3290,-0.04738177068282738,-0.11589288934098485
20240909,3294,-0.04397556552125854,-0.08025188977188039
20240910,3298,0.029471035108864334,0.08830206067079434
20240911,3306,-0.13902803188765725,-0.045232474575081894
20240912,3311,0.023981462305498923,0.03584261541258447
20240913,3314,0.14573715626340716,0.15440407475633777
20240918,3317,0.02764864717784773,0.04484165736923691
20240919,3323,-0.10701651333825299,-0.062027826011477216
20240920,3323,-0.06116511904859023,-0.06805682855105653
20240923,3327,0.1398149119229477,0.2087003661763014
20240924,3331,-0.17824515625192136,-0.15612449048035687
20240925,3334,0.0038913725467832633,-0.008721672176111885
20240926,3337,-0.13631043782041316,-0.15779658654107126
20240927,3340,-0.2844968655219957,-0.32616927286336905
20240930,3338,-0.27915704057752466,-0.2923623171843096
20241008,3336,0.14285190235563805,0.19441797603879035
20241009,3338,0.22901007082635438,0.25314002895596677
20241010,3342,-0.03748790997096563,-0.05479417635414043
20241011,3342,0.06996531342750541,0.14743370469547146
20241014,3347,-0.15692654095144484,-0.1809961094101722
20241015,3350,-0.07824743064997684,-0.08640163194979919
20241016,3356,0.08814121759424817,0.13175283154236836
20241017,3358,-0.01917421318261729,-0.05307309383961067
20241018,3360,-0.1391025607918736,-0.2059298431987996
20241021,3363,-0.021328841418826707,0.015384216123519014
20241022,3363,-0.06869320357501477,-0.021707147919360202
20241023,3363,-0.09573535018096374,-0.05210004050568635
20241024,3365,-0.10954800583529951,-0.16270047651439204
20241025,3365,-0.2169332240585888,-0.2867522810162385
20241028,3365,0.013494689500613135,0.1824620231617793
20241029,3368,-0.17392786991970802,-0.14285398157151075
20241030,3370,-0.12777682427558276,-0.1456344334538073
20241031,3371,0.06718857230232014,0.17628460881990102
20241101,3376,0.03993739077372155,0.1064969376758244
20241104,3379,-0.0939731479871564,-0.04212235242283451
20241105,3382,-0.19421658232789707,-0.19520340866079533
20241106,3385,-0.15548676988147914,-0.15097400947506392
20241107,3384,-0.005432888070070655,0.13124814785351638
20241108,3389,-0.15469843712342427,-0.2375467439029279
20241111,3388,0.022694074011224804,0.10090082993494925
20241112,3392,0.05877193403357147,0.1227935031036121
20241113,3394,-0.05204918499610469,0.006176734575882519
20241114,3396,-0.09937283660556216,-0.16808942388204476
20241115,3399,-0.004104005105724941,-0.058013313817597084
20241118,3397,0.21775640083859973,0.3092883264851048
20241119,3401,-0.08048200135494736,-0.069503979744879
20241120,3405,-0.1164497073876256,-0.10402276725183195
20241121,3408,-0.09110585532497754,-0.03392283479364657
20241122,3410,-0.16100239725211432,-0.16742802210159077
20241125,3414,-0.009301149876784948,-0.009907645418360887
20241126,3420,0.03246916213148055,0.119347894616882
20241127,3424,-0.1197951326762623,-0.10537488084676863
20241128,3426,0.047351078924278846,0.08765766199103904
20241129,3433,-0.10991330338828016,-0.09287435825525331
20241202,3434,-0.06126499766735923,-0.00599227799953184
20241203,3435,-0.008110009939328014,0.10524410680913314
20241204,3436,-0.06304019876829775,0.0508994380406941
20241205,3440,-0.1274211278733115,-0.05663370073684201
20241206,3443,-0.08808233258780802,-0.0597202002042943
20241209,3442,0.053880005250289874,0.21576809646968406
20241210,3448,-0.059086994547137464,-0.023997411149256364
20241211,3452,-0.07955457538704362,-0.07942052481402079
20241212,3456,-0.013490397552015173,0.00787130352948153
20241213,3460,-0.07089030481645914,-0.06521173998933859
20241216,3468,0.15134342462220307,0.20944579747438213
20241217,3470,-0.007814354816479005,-0.005542987762034493
20241218,3474,-0.0433106403141423,-0.04953970117287207
20241219,3473,-0.034940295593162196,-0.0637304518471678
20241220,3479,0.1316019072385022,0.2068595884024318
20241223,3481,-0.12097072070561371,-0.21913710721726767
20241224,3483,-0.13832577045315908,-0.23564177630225552
20241225,3483,0.018282420202371794,0.10886671987692143
20241226,3489,0.02278987888992351,0.09933002607726105
20241227,3510,0.07757089437168412,0.1939701661995302
20241230,3513,-0.07293859021966083,-0.01132224480763058
20241231,3520,-0.11108158851680643,-0.15679792304314313
20250102,3525,0.061692658020212836,0.13118136458993576
20250103,3527,-0.11574944012549214,-0.23080124243193437
20250106,3528,0.1234093610550999,0.21469606238754305
20250107,3534,-0.05480624892587642,-0.03653108616793286
20250108,3538,-0.10353537681508428,-0.11792920742141484
20250109,3541,0.0705174490923473,0.2050294311729382
20250110,3540,-0.09973882387273468,-0.13779800068654408
20250113,3547,0.007871534818491576,0.040811223502231236
20250114,3552,-0.10779021731246297,-0.064487388559762
20250115,3552,-0.053169084475261474,-0.023554664497691818
20250116,3559,0.14371052719904112,0.2160479196733761
20250117,3573,-0.008268339426148644,-0.03521848762327032
20250120,3583,0.02405778248326227,0.07108946261923207
20250121,3590,-0.024932207548950192,0.004230481544736037
20250122,3597,-0.012765810646491597,0.021303778966765566
20250123,3603,0.010317705404093437,0.052216728557294895
20250124,3610,-0.05463544462723884,0.008514293556870473
20250127,3615,-0.07409757734187551,0.04891579761977533
20250205,3618,-0.051668554424685806,-0.10685516329570073
20250206,3625,-0.0722197839367079,-0.08157121011171425
20250207,3629,-0.2087901995056688,-0.2862395905674997
20250210,3634,0.05078573805255854,0.18745981503601927
20250211,3641,0.035268612500345374,0.10495557263547048
20250212,3651,-0.09206369717875962,0.02730683681377861
20250213,3660,0.010404115671790969,0.0651978420834743
20250214,3662,-0.046832098571522054,0.06925170237648555
20250217,3674,0.06555806317362255,0.16825659216201752
20250218,3675,0.0530178826738269,0.15891975731687213
20250219,3682,-0.03745220669796373,-0.0677793372491751
20250220,3684,0.07174168397424187,0.12271875032779316
20250221,3688,-0.015302249440260996,0.05330448440548438
20250224,3688,-0.03296660210504364,-0.021895458578321165
20250225,3692,-0.03681740752626133,-0.03826102199417684
20250226,3698,-0.015226306808686259,-0.018800041530173586
20250227,3702,-0.12086639406102731,-0.18279849466596007
20250228,3713,-0.07409839249863504,-0.04844833095316419
20250303,3717,0.10639741457997832,0.1887428096859645
20250304,3725,0.08120613344760258,0.11666617194619584
20250305,3730,-0.019802697970999216,0.007188476878703711
20250306,3735,0.06552223315165268,0.16312901716906447
20250307,3744,-0.05177537975747843,-0.02590826507536165
20250310,3750,-0.07870088833185288,-0.08889582578981738
20250311,3760,0.01601500178192158,0.12140641752847761
20250312,3769,-0.05019520410970551,-0.015402935511091606
20250313,3781,0.04305809494078456,0.10016091130086396
20250314,3789,-0.055099983530129105,-0.04301151774355125
20250317,3801,0.023331646821888777,0.05360249114849968
20250318,3819,-0.02203379589142409,0.04027074302570126
20250319,3823,-0.10744842465382325,-0.10655515505942185
20250320,3833,-0.1361397501385074,-0.1535246389528783
20250321,3848,0.06452877113179604,0.07594742167461366
20250324,3872,-0.10048553401751115,-0.189940484723407
20250325,3890,-0.022601279952963887,0.05657586009281314
20250326,3903,0.004575909880604853,0.043963665571334375
20250327,3917,0.003761712515280442,0.029950957601235336
20250328,3936,-0.029033221912824363,0.009137893521623468
20250331,3952,-0.010474673558715277,-0.00551812769082917
20250401,3961,0.0281023652600968,0.13663748592710118
20250402,3969,-0.10258001881128836,-0.09170704896853148
20250403,3977,-0.04540587649930286,-0.10204130923712265
20250407,3982,0.07235511882311833,0.049703590517795763
20250408,3988,0.003717779674999999,0.044479121485182634
20250409,3998,0.04396979953229897,0.12049398411613747
20250410,4001,-0.033722924089782225,-0.03849044266644093
20250411,4014,-0.08614681866751986,-0.12101004103647332
20250414,4020,-0.06644340885206168,-0.06483238596694237
20250415,4030,0.08634875424989867,0.19703606042927074
20250416,4050,-0.0826298526285109,-0.07222180318019344
20250417,4057,-0.033102452360552766,0.004746699266236309
20250418,4065,0.03407043784183557,0.02070365524731748
20250421,4071,-0.03268907592754738,0.04394113669385219
20250422,4082,0.07219477795510301,0.10093749229086078
20250423,4095,-0.0058691095931405046,0.08148293817253545
20250424,4107,-0.033471387937658185,0.012479110080492545
20250425,4114,-0.05728741709710121,-0.01598317111244022
20250428,4120,-0.09536820359616117,-0.0794874917830022
20250429,4103,-0.13935282582942501,-0.14410610766437318
20250430,4110,-0.13507666293114784,-0.1900170413735687
20250506,4141,-0.03289646074692526,0.03918834873917009
20250507,4153,-0.10673818485729433,-0.15967583028842403
20250508,4162,-3.467447716892028e-05,0.07899657084903472
20250509,4180,0.01683080435969679,0.15023192736969576
20250512,4199,0.029778421569839505,0.10787575625891628
20250513,4212,-0.03023036669458771,0.003072179435851379
20250514,4225,-0.03973247715035718,-0.049494186687400854
20250515,4241,0.041636396176308474,0.0708857967687694
20250516,4248,-0.07673653645550238,-0.08799174804896712
20250519,4255,-0.09754703743713884,-0.10790110650120968
20250520,4270,-0.030800973411292284,0.0380100231933985
20250521,4277,-0.009732134218367681,0.05456973300273279
20250522,4287,-0.0073208359959931035,-0.00751116599583233
20250523,4304,0.062496588802020456,0.17963761290930255
20250526,4314,-0.143790921453674,-0.16439869620726952
20250527,4324,-0.022862657949870118,0.029124436635674027
20250528,4332,-0.03384915375788186,0.06301870372745355
20250529,4348,-0.00668750766096409,0.05170416240049516
20250530,4357,-0.05828579236934099,-0.07508991988679561
20250603,4364,-0.015633666945222592,-0.023317003579878474
20250604,4389,0.07736051801410573,0.1468795698888973
20250605,4399,-0.03575493968514347,0.028319898114119044
20250606,4409,-0.044207905185976115,-0.010684566976583341
20250609,4414,-0.040164328284907375,0.0015707803008536557
20250610,4432,0.025841607988524504,0.09174149478203092
20250611,4447,-0.016436845382365662,-0.006036606653945648
20250612,4456,0.06547686099957614,0.11328572482282216
20250613,4460,-0.05365370327502109,0.07590703128391108
20250616,4477,-0.08994190782750064,-0.07904742954988728
20250617,4498,-0.01453430456558638,0.054947812949010064
20250618,4506,-0.08187518901230592,-0.11622498751784077
20250619,4510,-0.020379982335767013,-0.02523244071884254
20250620,4523,0.02696859632726285,0.07763279523813933
20250623,4524,0.010678391898990478,0.0020634906465862245
20250624,4537,-0.0322285044425388,-0.014927656085991241
20250625,4547,-0.07991073660470459,0.018540084858403853
20250626,4556,-0.011475385298092939,0.066993681956473
20250627,4561,-0.022302299804966143,-0.02010604484127352
20250630,4572,-0.009055799954402114,0.026900561658314146
20250701,4577,-0.04299054725366766,-0.03484229099640538
20250702,4589,0.056290605087563755,0.08865438752084608
20250703,4598,-0.005101919980483802,0.04688033196351231
20250704,4611,-0.03263669757239265,-0.032017972400654515
20250707,4617,0.021601021682182486,0.12995359409823173
20250708,4624,-0.07887607201780768,-0.04454320920599206
20250709,4633,-0.06596419947854325,-0.09329096184491165
20250710,4635,0.05305946370556545,0.12290000638504768
20250711,4646,0.05695667440292423,0.14727455115009633
20250714,4655,-0.015199696767971949,0.027946866068261817
20250715,4666,-0.026505594285850073,0.02291434950885775
20250716,4674,-0.020357976647062466,0.01069537787792033
20250717,4682,-0.003908065274054885,0.04559606780736147
20250718,4687,-0.01182770028993851,0.03825272803741124
20250721,4700,-0.13512188706745334,-0.18685500627933352
20250722,4709,0.07288267439865005,0.11754427529266952
20250723,4713,-0.06840349175055743,-0.06299131379963749
20250724,4720,-0.025161978068292408,-0.02976570997823901
20250725,4727,-0.032397114366092536,-0.014850322329753253
20250728,4733,-0.04309252213237782,-0.02994196416651299
20250729,4741,-0.013123407481878813,0.05638463640858375
20250730,4745,0.009966317381701173,0.15226800947451855
20250731,4751,-0.06319229851640913,-0.08884843688408495
20250801,4760,0.01613708459964292,-0.00033321726369882066
20250804,4767,-0.0028363457883860406,0.002273839355506867
20250805,4777,-0.01961660993487117,-0.018164952852861287
20250806,4786,-0.01194831037188597,0.047809855121410616
20250807,4792,0.02779780039857052,0.04761354664428395
20250808,4805,0.02215052498838733,0.08821927023605368
20250811,4818,-0.00775431361837419,0.03442259671213813
20250812,4834,-0.02151945764942234,0.05081216274667034
20250813,4841,-0.029396851759943422,-0.03101699525575583
20250814,4851,-0.006710938180180953,0.0671891680091513
20250815,4858,-0.061847626999738725,-0.058431213838922656
20250818,4865,-0.0527467995638602,-0.005776075621804809
20250819,4882,0.016321982951398622,0.04912662760819969
20250820,4892,-0.041779133743261795,-0.04043220028318982
20250821,4902,0.07105783792852353,0.17389731593299362
20250822,4909,-0.0036595840901788163,9.513366982718382e-05
20250825,4924,-0.03168025018175085,0.04119748388135779
20250826,4930,0.014795560466860815,0.059908406060222415
20250827,4936,-0.01084014156412339,-0.0005665613773441319
20250828,4945,0.018538292617889075,0.08185838293635804
20250829,4946,-0.0679895171778326,-0.018657386076547062
20250901,4954,-0.05506443444449919,-0.02087182816900644
20250902,4962,-0.03346251591310419,-0.027319569928991632
20250903,4972,-0.08496772981063341,-0.14867662142841143
20250904,4982,0.1342256354590465,0.2723017084715815
20250905,4986,-0.050708825766894075,-0.045536934114810655
20250908,4989,-0.05728868869820399,-0.022544861837784126
20250909,4992,0.019496853817021494,0.07051006282587358
20250910,4998,0.04927738234901994,0.1527794056174262
20250911,5001,-0.05600250633968496,-0.03080715280278133
20250912,5007,-0.03147304396787815,0.03934948320522796
20250915,5013,-0.012866348912947731,-0.006434864276015674
20250916,5016,-0.00913027194923304,0.01578532175280766
20250917,5020,-0.052064944870172415,0.03489071355296542
20250918,5026,0.08849864802478968,0.12054629901321859
20250919,5036,0.04136457871056789,0.13271934930501933
20250922,5037,-0.05493953892391846,-0.056076047501290666
20250923,5046,-0.023899948244762242,0.05111963265137669
20250924,5055,-0.05812061921954323,-0.03381875425344831
20250925,5065,-0.05794425556245087,-0.008023460651633209
20250926,5067,0.040461312769921105,0.06793816135637779
20250929,5068,-0.056586841698766294,-0.03068682266396037
20250930,5076,-0.057025582328959594,-0.060440604837103507
20251009,5082,0.0023479770882357514,0.06540189996852397
20251010,5089,-0.03281194364844248,-0.08578122636945969
20251013,5096,-0.16998647024998992,-0.20303856672715342
20251014,5103,0.15236935855313422,0.21894974105890613
20251015,5114,-0.08375238114332595,-0.06915023398553606
20251016,5129,-0.10748937611786646,-0.1934655853606053
20251017,5137,0.013443639656870586,0.06793081486729953
20251020,5146,0.008235140735903958,0.014576262606524285
20251021,5153,-0.12777798225658618,-0.15205286905967721
20251022,5162,-0.02264684694527501,-0.02411544501465315
20251023,5170,0.13917937466947106,0.22420905118128745
20251024,5176,-0.0030288736828972627,-0.026417034362810836
20251027,5183,-0.061472363762166166,-0.02466713021034078
20251028,5188,0.05556093285357791,0.14045821477756856
20251029,5191,-0.032276120227331825,0.003742244005541677
20251030,5195,-0.02154876155269152,0.017228247421991246
20251031,5200,-0.11742035785364024,-0.14257096009303122
20251103,5204,-0.14857308741897945,-0.20457729459284987
20251104,5209,-0.11242832874983662,-0.1584144549645424
20251105,5210,0.146294786894715,0.2379327689526632
20251106,5211,-0.11552577092416513,-0.12300345049349502
20251107,5216,-0.12337281172077706,-0.12939580998711536
20251110,5223,-0.15085182456756385,-0.16175890876625892
